,AGE_MEDIAN,S ratio mean,S ratio std,total num,S ratio num,S ratio sem
0,4550.0,,,0.0,0.0,
1,4450.0,,,0.0,0.0,
2,4350.0,,,0.0,0.0,
3,4250.0,,,0.0,0.0,
4,4150.0,,,0.0,0.0,
5,4050.0,,,0.0,0.0,
6,3950.0,,,0.0,0.0,
7,3850.0,,,0.0,0.0,
8,3750.0,,,0.0,0.0,
9,3650.0,,,1.0,0.0,
10,3550.0,,,0.0,0.0,
11,3450.0,,,2.0,1.0,
12,3350.0,,,2.0,1.0,
13,3250.0,,,2.0,2.0,
14,3150.0,0.56928,0.04946798560685486,7.0,4.0,0.01869714111072293
15,3050.0,0.33432999999999996,0.047763491287802655,6.0,2.0,0.01949936366483105
16,2950.0,0.29238,0.04407874317627489,17.0,5.0,0.010690665527073826
17,2850.0,0.13082000000000002,0.033441405472856546,45.0,6.0,0.0049851503933627155
18,2750.0,0.44209000000000004,0.0483356173023579,90.0,40.0,0.005095021426189819
19,2650.0,0.5152100000000001,0.05079326628599504,97.0,50.0,0.00515727481380958
20,2550.0,0.47262,0.04910942475737219,59.0,28.0,0.006393502528056996
21,2450.0,0.53676,0.04741837618476617,76.0,41.0,0.005439260785689249
22,2350.0,0.79865,0.03964691034620478,20.0,16.0,0.00886531866319536
23,2250.0,0.44627,0.05043200471922567,18.0,8.0,0.011886937508598813
24,2150.0,0.31947000000000003,0.04583687489347415,25.0,8.0,0.009167374978694829
25,2050.0,0.49066,0.05081696960661862,55.0,27.0,0.006852158783916205
26,1950.0,0.6017899999999999,0.049072353723863704,123.0,74.0,0.004424705125446719
27,1850.0,0.59769,0.04934940627809012,261.0,156.0,0.0030546515625488905
28,1750.0,0.41661000000000004,0.048257723734134006,165.0,69.0,0.003756858697466179
29,1650.0,0.28026999999999996,0.04535887013584003,161.0,45.0,0.0035747797569303497
30,1550.0,0.21056999999999998,0.039387499285940965,114.0,24.0,0.003688977298489641
31,1450.0,0.31722,0.04545186024795904,116.0,37.0,0.004220099279760427
32,1350.0,0.31338,0.04591051731357424,89.0,28.0,0.0048665051022383984
33,1250.0,0.26152,0.043837080194739246,100.0,26.0,0.004383708019473924
34,1150.0,0.37644999999999995,0.0503477655909376,248.0,94.0,0.0031970863121124483
35,1050.0,0.41483,0.05214375418015086,342.0,142.0,0.0028196113020657375
36,950.0,0.42060000000000003,0.04938056297775472,172.0,72.0,0.0037652326281633714
37,850.0,0.27425,0.04409804417431685,142.0,39.0,0.003700625660843061
38,750.0,0.22262,0.04203731199779548,140.0,31.0,0.0035528013092286964
39,650.0,0.49639000000000005,0.05074709745394312,247.0,123.0,0.0032289604875190892
40,550.0,0.60643,0.047794927555128694,328.0,199.0,0.002639033394274798
41,450.0,0.61549,0.05023902765778812,314.0,193.0,0.0028351523510215786
42,350.0,0.49898000000000003,0.049684601236197924,320.0,160.0,0.002777453644977716
43,250.0,0.25318999999999997,0.04445811399508531,409.0,104.0,0.0021983122554851344
44,150.0,0.20398000000000002,0.04109695365839176,334.0,68.0,0.002248725254329901
45,50.0,0.09922000000000002,0.030172696266658038,111.0,11.0,0.002863865591491005
46,-50.0,,,0.0,0.0,
